OX	OY	TAU	ITERCOUNT	L1ERR	TIMESTP
201	201	2.000000e-03	68	2.592385e-03
51	51	8.000000e-03	63	7.724266e-03
101	101	4.000000e-03	56	7.261163e-03
201	201	2.000000e-03	57	8.745334e-03
401	401	1.000000e-03	57	1.314212e-02
51	51	8.000000e-03	53	7.724266e-03
101	101	4.000000e-03	56	7.261162e-03
201	201	2.000000e-03	57	8.745334e-03
401	401	1.000000e-03	57	1.314212e-02
201	201	2.000000e-02	66	8.810113e-02
51	51	8.000000e-02	61	4.415405e-02
101	101	4.000000e-02	64	4.517262e-02
201	201	2.000000e-02	64	4.699525e-02
401	401	1.000000e-02	65	5.155603e-02
201	201	2.000000e-02	66	8.810113e-02
51	51	8.000000e-02	61	4.415405e-02
101	101	4.000000e-02	64	4.517262e-02
201	201	2.000000e-02	64	4.699525e-02
401	401	1.000000e-02	65	5.155603e-02
201	201	2.000000e-02	66	8.810113e-02
51	51	8.000000e-02	61	4.415405e-02
101	101	4.000000e-02	64	4.517432e-02
201	201	2.000000e-02	68	1.680140e-01
201	201	2.000000e-02	64	4.699525e-02
201	201	2.000000e-02	64	4.703697e-02
201	201	2.000000e-02	64	4.703697e-02
201	201	2.000000e-02	64	4.703697e-02
201	201	2.000000e-02	64	4.703697e-02
201	201	2.000000e-02	64	4.703697e-02
201	201	2.000000e-02	64	4.227515e-03
201	201	2.000000e-02	66	2.545274e-02
51	51	8.000000e-02	61	1.827880e-03
101	101	4.000000e-02	64	2.249107e-03
201	201	2.000000e-02	64	4.227515e-03
401	401	1.000000e-02	1	nan
201	201	2.000000e-02	71	4.228969e-03
51	51	8.000000e-02	65	6.503114e-02
101	101	4.000000e-02	69	2.251850e-03
201	201	2.000000e-02	71	4.228987e-03
401	401	1.000000e-02	72	8.886928e-03
201	201	2.000000e-02	71	4.228969e-03	4
51	51	8.000000e-02	65	6.503114e-02	1
101	101	4.000000e-02	69	2.251850e-03	2
201	201	2.000000e-02	71	4.228987e-03	4
401	401	1.000000e-02	72	8.886928e-03	8
201	201	2.000000e-02	71	4.315768e-03	4
51	51	8.000000e-02	65	6.018073e-02	1
101	101	4.000000e-02	69	2.626250e-03	2
201	201	2.000000e-02	71	4.315784e-03	4
201	201	2.000000e-02	71	4.315768e-03	4
201	201	2.000000e-02	66	2.545113e-02	19
51	51	8.000000e-02	61	1.833269e-03	1
101	101	4.000000e-02	64	2.251979e-03	2
201	201	2.000000e-02	66	2.483081e-02	19
51	51	8.000000e-02	61	1.833269e-03	1
201	201	2.000000e-02	64	4.228965e-03	4
101	101	4.000000e-02	64	2.251979e-03	2
201	201	2.000000e-02	64	4.228965e-03	4
401	401	1.000000e-02	65	8.886920e-03	8
401	401	1.000000e-02	65	8.886920e-03	8
201	201	2.000000e-02	66	2.483081e-02	19
51	51	8.000000e-02	61	1.833269e-03	1
101	101	4.000000e-02	64	2.251847e-03	2
201	201	2.000000e-02	64	4.228965e-03	4
51	51	8.000000e-02	60	9.047525e-04	1
101	101	4.000000e-02	64	1.987864e-03	2
201	201	2.000000e-02	64	4.093208e-03	4
401	401	1.000000e-02	65	8.701897e-03	8
51	51	8.000000e-02	60	9.047525e-04	1
101	101	4.000000e-02	64	1.987864e-03	2
201	201	2.000000e-02	64	4.093208e-03	4
201	201	2.000000e-02	66	2.483081e-02	19
201	201	2.000000e-02	66	2.483081e-02	19
201	201	2.000000e-02	66	2.483081e-02	19
201	201	2.000000e-02	66	2.483081e-02	19
201	201	2.000000e-02	66	2.483081e-02	19
201	201	2.000000e-03	80	1.507782e+01	199
201	201	2.000000e-03	57	2.658451e-02	20
51	51	8.000000e-02	60	9.047525e-04	1
51	51	8.000000e-02	60	9.047525e-04	1
51	51	9.000000e-03	53	7.052912e-03	1
51	51	9.000000e-03	53	7.052912e-03	1
51	51	9.000000e-03	53	7.052912e-03	1
51	51	9.000000e-03	53	7.052912e-03	1
51	51	9.000000e-03	54	1.427490e-02	10
101	101	4.500000e-03	59	2.817212e-02	20
401	401	1.000000e-03	67	8.739638e-04	9.402135e-15	1
101	101	4.000000e-03	77	3.756076e-03	9.033667e-15	1
801	801	5.000000e-04	62	4.528557e-04	8.621757e-15	1
801	801	5.000000e-04	62	4.528557e-04	8.621757e-15	1
801	801	5.000000e-04	62	4.528707e-04	8.621754e-15	1
401	401	1.000000e-03	67	8.739867e-04	9.402129e-15	1
401	401	1.000000e-03	67	2.731228e-03	9.392967e-15	400
401	401	1.000000e-03	0	3.078125e-02	3.402823e+38	0
401	401	1.000000e-03	0	3.078125e-02	3.402823e+38	0
401	401	1.000000e-03	0	3.078125e-02	3.402823e+38	0
401	401	1.000000e-03	0	3.078125e-02	3.402823e+38	0
401	401	1.000000e-03	0	3.078125e-02	3.402823e+38	0
401	401	1.000000e-03	0	3.078125e-02	3.402823e+38	0
401	401	1.000000e-03	65	1.733533e-04	9.872432e-15	250
401	401	1.000000e-03	67	8.739638e-04	9.402136e-15	1
401	401	1.000000e-03	67	8.739638e-04	9.402136e-15	1
401	401	1.000000e-03	67	8.739638e-04	9.402136e-15	1
401	401	1.000000e-03	67	8.739638e-04	9.402136e-15	1
401	401	1.000000e-03	67	8.739638e-04	9.402136e-15	1
401	401	1.000000e-03	67	8.743538e-04	9.402031e-15	1
401	401	1.000000e-03	67	8.743538e-04	9.402031e-15	1
401	401	1.000000e-03	67	8.743538e-04	9.402031e-15	1
401	401	1.000000e-03	67	8.739638e-04	9.402136e-15	1
401	401	1.000000e-03	67	8.510470e-04	9.406197e-15	2
201	201	1.000000e-05	28	2.645982e-07	7.457503e-15	1
201	201	1.000000e-05	28	2.645982e-07	7.457503e-15	1
201	201	1.000000e-05	28	2.645982e-07	7.457503e-15	1
201	201	1.000000e-05	28	2.645982e-07	7.457503e-15	1
201	201	1.000000e-05	28	2.645982e-07	7.457503e-15	1
201	201	1.000000e-05	28	2.645982e-07	7.457503e-15	1
201	201	2.500000e-03	46	6.653906e-05	9.368682e-15	1
201	201	2.500000e-03	46	6.653906e-05	9.368682e-15	1
201	201	2.500000e-03	46	6.653906e-05	9.368682e-15	1
201	201	2.500000e-03	46	6.653906e-05	9.368682e-15	1
201	201	2.500000e-03	201	2.138520e-03	1.706667e+06	1
201	201	2.500000e-03	201	1.237783e-02	2.395439e+06	10
201	201	2.500000e-03	201	4.180714e-02	2.367744e+06	50
201	201	2.500000e-03	201	4.180714e-02	2.367744e+06	50
51	51	8.000000e-03	51	7.103487e-03	9.244445e+04	1
101	101	4.000000e-03	101	6.249642e-03	5.176607e+05	2
201	201	2.000000e-03	201	5.161683e-03	2.375624e+06	4
401	401	1.000000e-03	401	4.831212e-03	9.723105e+06	8
801	801	5.000000e-04	801	4.710712e-03	3.885942e+07	16
51	51	8.000000e-03	51	7.103487e-03	2.294526e-11	1
101	101	4.000000e-03	78	6.249642e-03	9.372603e-15	2
201	201	2.000000e-03	74	5.161683e-03	8.173535e-15	4
401	401	1.000000e-03	69	4.831212e-03	7.790673e-15	8
801	801	5.000000e-04	65	4.710712e-03	5.624060e-15	16
201	201	2.000000e-03	73	5.507256e-02	7.779974e-15	50
201	201	1.000000e-03	62	2.621257e-03	9.537815e-15	50
201	201	4.000000e-03	68	2.449609e-03	8.042768e-15	20
201	201	4.000000e-03	68	5.036004e-03	8.060704e-15	200
401	401	2.500000e-03	63	6.078880e-03	9.365002e-15	2700
51	51	8.000000e-03	51	6.674182e-03	2.669673e-02	1.663742e-11	1
101	101	4.000000e-03	77	3.697710e-03	1.479084e-02	9.050323e-15	2
201	201	2.000000e-03	73	1.961162e-03	7.844648e-03	7.776752e-15	4
401	401	1.000000e-03	67	1.009617e-03	4.038467e-03	9.402736e-15	8
801	801	5.000000e-04	64	5.992682e-04	2.397073e-03	5.133638e-15	16
801	801	6.000000e-04	65	6.087297e-04	2.434919e-03	4.754332e-15	20
801	801	6.000000e-04	65	6.086265e-04	2.434506e-03	4.753853e-15	20
